STT,Họ tên,Chức danh,Điện thoại,Ext,Email
1,nguyen van a,truong phong,123456789,275,ng275@GMAIL.COM
2,nguyen van b,pho phong,900821141,101,ng101@GMAIL.COM
3,tran thu thao,nhan vien,900289651,130,tr130@GMAIL.COM
4,ly van tinh,nhan vien,900107628,209,ly209@GMAIL.COM
5,nguyen tran,truong nhom,909408855,189,ng189@GMAIL.COM
6,lung thi linh,pho phong,903100744,125,lu125@GMAIL.COM
7,ha thu o,truong nhom,901099144,180,ha180@GMAIL.COM
8,ly tinh,nhan vien,906921236,213,ly213@GMAIL.COM
9,ton ngo khong,truong phong,900751345,112,to112@GMAIL.COM
10,tru bat gioi,nhan vien,903994687,216,tr216@GMAIL.COM
11,tuan hung,pho phong,900054842,105,tu105@GMAIL.COM
12,vu ha,nhan vien,906554103,273,vu273@GMAIL.COM
13,binz,nhan vien,908720164,156,bi156@GMAIL.COM
14,ly tieu long,nhan vien,902150234,294,ly294@GMAIL.COM
15,thai binh,truong phong,908366931,138,th138@GMAIL.COM
16,sky oi,truong nhom,901794241,276,sk276@GMAIL.COM
17,son tung mt-p,nhan vien,904322222,255,so255@GMAIL.COM
18,ly lien kiet,pho phong,909035123,298,ly298@GMAIL.COM
